- - - - - - - - - 1 -1 2 0 3 0 4 -1 5 9 6 -5 7 -17 8 -3 9 0 
x - - - - - - - - 1 0 2 2 3 2 4 2 5 2 6 2 7 2 8 2 9 2 
o - - - - - - - - 1 0 2 2 3 2 4 2 5 2 6 2 7 2 8 2 9 2 
- - - o - - - - - 1 2 2 2 3 2 4 0 5 2 6 2 7 2 8 2 9 2 
- o - - - - - - - 1 2 2 0 3 2 4 2 5 2 6 2 7 2 8 2 9 2 
x - - o - - - - - 1 0 2 2 3 2 4 0 5 2 6 2 7 2 8 2 9 2 
x o - - - - - - - 1 0 2 0 3 2 4 2 5 2 6 2 7 2 8 2 9 2 
- - - x - - - - - 1 2 2 2 3 2 4 0 5 2 6 2 7 2 8 2 9 2 
- x - - - - - - - 1 2 2 0 3 2 4 2 5 2 6 2 7 2 8 2 9 2 
o - - x - - - - - 1 0 2 2 3 2 4 0 5 2 6 2 7 2 8 2 9 2 
o x - - - - - - - 1 0 2 0 3 2 4 2 5 2 6 2 7 2 8 2 9 2 
- - - - - - o - - 1 2 2 2 3 2 4 0 5 2 6 2 7 0 8 1 9 2 
- - - - o - - - - 1 2 2 2 3 2 4 2 5 0 6 2 7 2 8 2 9 2 
- - o - - - - - - 1 2 2 2 3 0 4 2 5 2 6 2 7 2 8 2 9 2 
x - - - - - o - - 1 0 2 2 3 2 4 2 5 2 6 2 7 0 8 2 9 2 
- x - o - - - - - 1 2 2 0 3 2 4 0 5 2 6 2 7 2 8 2 9 2 
- o - x - - - - - 1 2 2 0 3 2 4 0 5 2 6 2 7 2 8 2 9 2 
x - - - o - - - - 1 0 2 2 3 2 4 2 5 0 6 2 7 2 8 2 9 2 
x - o - - - - - - 1 0 2 2 3 0 4 2 5 2 6 2 7 2 8 2 9 2 
x x - o - - - - - 1 0 2 0 3 2 4 0 5 2 6 2 7 2 8 2 9 2 
- - - - - - x - - 1 2 2 -8 3 5 4 -2 5 2 6 -7 7 -4 8 2 9 5 
- - - - x - - - - 1 2 2 2 3 2 4 2 5 0 6 2 7 2 8 2 9 2 
- - x - - - - - - 1 2 2 2 3 0 4 2 5 2 6 2 7 2 8 2 9 2 
x o - x - - - - - 1 0 2 0 3 2 4 0 5 2 6 2 7 2 8 2 9 2 
x o - o - - - - - 1 0 2 0 3 2 4 0 5 2 6 2 7 2 8 2 9 2 
o - - - - - x - - 1 0 2 2 3 2 4 2 5 2 6 2 7 0 8 2 9 2 
o - - - x - - - - 1 0 2 2 3 2 4 2 5 0 6 2 7 2 8 2 9 2 
o - x - - - - - - 1 0 2 2 3 0 4 2 5 2 6 2 7 2 8 2 9 2 
o x - x - - - - - 1 0 2 0 3 2 4 0 5 2 6 2 7 2 8 2 9 2 
o x - o - - - - - 1 0 2 0 3 2 4 0 5 2 6 2 7 2 8 2 9 2 
o o - x - - - - - 1 0 2 0 3 2 4 0 5 2 6 2 7 2 8 2 9 2 
- - - - - - - o - 1 2 2 2 3 2 4 2 5 2 6 2 7 2 8 0 9 2 
- - - - - o - - - 1 2 2 2 3 2 4 2 5 2 6 0 7 2 8 2 9 2 
x - - - - - - o - 1 0 2 2 3 2 4 2 5 2 6 2 7 2 8 0 9 2 
x - - - - o - - - 1 0 2 2 3 2 4 2 5 2 6 0 7 2 8 2 9 2 
- - - x - - o - - 1 -2 2 2 3 4 4 1 5 2 6 2 7 -1 8 2 9 -1 
